text,intent
status pengiriman dan komplain,komplain_kurir+tanya_status_pesanan
promo cashback dan diskon,tanya_promosi+tanya_promosi
kurir minta duit tambahan,komplain_kurir+komplain_kurir
produk fake mau lapor,komplain_produk+komplain_produk
cara cancel dan refund,tanya_pengembalian+tanya_pengembalian
pesanan stuck dan barang defect,tanya_status_pesanan+komplain_produk
driver tidak professional,komplain_kurir+komplain_kurir
barang bekas mau return,komplain_produk+tanya_pengembalian
ongkir mahal dan kurir lambat,komplain_kurir+komplain_kurir
produk tidak original komplain,komplain_produk+komplain_produk
status refund dan tanya promo,tanya_pengembalian+tanya_promosi
kurir tidak bawa kembalian,komplain_kurir+komplain_kurir
barang pecah saat datang,komplain_produk+komplain_produk
pesanan belum dikirim dan tanya diskon,tanya_status_pesanan+tanya_promosi
driver kasar dan paket rusak,komplain_kurir+komplain_produk
cara klaim garansi produk,komplain_produk+tanya_pengembalian
promo member dan cashback,tanya_promosi+tanya_promosi
